author,lng,lat
José Pereira,23.2656,-29.759
David H. Perrin,15.9501,5.9152
John Cooper,35.881,-2.3952
Daniel Horowitz,33.2608,-17.1988
Will Fowler,22.9065,-29.9119
Edwin Scott Gaustad,19.2976,-28.8855
Muriel Rukeyser,6.7715,-24.9629
Peter J. Seybolt,-22.1724,-21.99
Doris L. Bergen,9.4725,-13.1432
Russell M. Magnaghi,39.8417,-21.29
Gary Edson,29.7838,-27.9784
Dorothy Cobble,-22.2046,-30.565
Dotti Enderle,-1.6239,-45.3353
Lisa Tuttle,-10.841,-44.8061
Thomas F. Monteleone,15.0034,-28.9304
Jon C. Stott,11.4713,4.2958
Peter Dronke,-7.916,-28.4632
Andrew W. M. Beierle,1.9526,-42.8928
Thomas Armstrong,24.8539,-1.3593
John L. Kessell,-3.1419,-12.504
Christine Downing,19.6241,-5.9448
Paul E. Walker,-16.3886,-17.6457
James Cummins,-7.4916,-32.4331
Michael L. Johnson,35.414,-16.0892
Bouthaina Shaaban,1.5754,-4.0505
John Louis DiGaetani,21.9847,-2.9373
Michael Kreyling,3.5861,-19.165
Jillian Powell,16.7419,3.4409
Robert Drake,-15.689,-28.3848
Paul H. Lewis,35.3737,-9.3359
Publius Vergilius Maro,3.8027,-41.603
Andrew Oram,17.7168,14.0974
Nikky-Guninder Kaur Singh,-30.1233,-17.4446
Amy Levy,7.7663,-45.5795
Joan Freeman,11.5377,-40.2927
Catherine Belsey,30.8694,-4.7376
John L. Pollock,-12.9445,-39.8839
P. J. Louis,14.6177,10.6134
Eric Lawrence Gans,5.1648,4.225
Stuart Reid,-18.7561,-13.0674
Lynn Hoffman,37.6047,-5.1578
Graham Connah,30.9038,-30.5624
Judith Still,25.1649,-7.6295
Victor Guillemin,-8.238,-11.1514
Benjamin Wittes,4.1626,-18.5139
Edith Templeton,-6.5368,-20.7019
Norman Kelley,25.3096,-37.2567
Juval Löwy,16.1573,15.8335
Richard Dunlop,-3.7797,-5.6754
Harry W. Greene,-19.5432,-35.5201
Benson Tong,-19.3298,-14.0368
John Makeham,-22.282,-20.727
Leslie A. Adelson,11.2625,-22.8204
Gioia Diliberto,18.4791,-36.4287
Delmore Schwartz,4.3583,-32.4062
David Vaught,14.4243,-28.5615
Guillaume Apollinaire,20.6669,-22.3071
Rosa Giorgi,-4.8953,-15.8278
Janet Lee,-9.2156,-41.24
Pierre de la Ruffinière du Prey,16.1985,-33.6274
John Morris Roberts,13.8694,-21.9485
Theophile Gautier,-7.9743,-43.6791
Ruben Dario,36.8722,-40.159
Kenneth Poolman,0.4834,-42.1482
Mary E. Mebane,-12.9767,-22.5335
Jeanne Nienaber Clarke,15.0903,-35.8197
Philip Gaskell,-14.2093,-9.6074
Paul J. D'Anieri,29.8636,-24.2641
Andreï Makine,5.9235,-42.7016
Anne Ursu,-7.1916,-47.1227
Jussi M. Hanhimäki,23.7935,-21.7342
Micki Pistorius,14.9436,-4.5619
Linda Wagner-Martin,-3.3847,-35.9891
Geoffrey Young,-11.034,-29.848
Edmund Crispin,1.5782,-42.5314
